shot_id,shot_made_flag
1,1.24371191539619e-07
8,3.35224668424111e-07
17,1.98188653018713e-05
20,3.4551689199156e-05
33,9.90345126273474e-08
34,1.0141872360162e-07
35,7.56562972937015e-06
36,3.25853270126207e-06
37,1.16429181048245e-05
38,1.1265710893308e-07
45,2.7335848912095e-06
50,8.90992348801516e-08
55,3.23616251205268e-08
60,3.52588154185688e-08
66,1.4787012618564e-07
67,1.22990904037886e-07
71,1.10552357477501e-07
80,9.40732723466988e-08
85,1.26927420575551e-07
86,9.20310157980954e-07
95,7.90355822878934e-07
104,8.77211232177027e-08
113,7.88681882369895e-08
123,1.108885247404e-07
126,1.58739321960455e-06
133,1.96819499116827e-05
141,1.14885772299988e-07
144,5.89120591081225e-08
150,4.47700228207375e-05
152,2.1858908493329e-07
153,3.74816104528915e-05
156,2.00249739084355e-06
159,0.00140975078605033
165,0.000373294018833242
172,1.0939575581377e-07
182,7.03371072248452e-05
192,1.17761746739959e-07
193,3.73419329772641e-05
196,8.76524131296888e-08
202,1.34927493906359e-07
210,3.45279320265173e-08
211,9.0956196671324e-08
228,0.00270598215791311
257,1.19522740082259e-07
260,1.07712324402955e-07
264,1.15259002381004e-07
267,8.48967714292989e-07
279,9.29111637428462e-05
282,1.04922247562029e-07
293,1.0526089984239e-07
299,1.28744493274527e-06
300,7.09175568552829e-07
301,1.37071294627967e-06
317,3.504830382946e-08
327,3.90791702205945e-08
328,1.08241002097606e-07
335,6.13971241604789e-06
346,1.67780564829919e-06
348,1.44558188881904e-07
365,1.0415745750675e-07
390,3.09242314537245e-05
391,3.16575880804914e-05
392,1.40004243791194e-06
397,3.74617385562468e-08
418,7.96051540083732e-08
428,6.88346837267337e-08
434,7.45965708248861e-07
439,6.57753541459999e-06
440,5.64437174403199e-08
456,9.94708294804001e-08
459,1.48434321716245e-07
472,1.34687332869738e-07
480,1.05888544544627e-07
491,3.70362738102447e-08
497,1.23971508708898e-07
509,7.03607285678502e-08
511,3.73980674921765e-08
523,7.04139761739461e-08
533,1.24823862065815e-07
544,7.33658371782881e-06
546,5.836360979215e-08
555,2.97036567279896e-05
558,5.97411013444277e-08
560,1.34954961385747e-07
573,1.46381225575695e-07
591,1.11132306252152e-07
596,9.67053582469843e-08
597,8.85091790167632e-08
601,7.06269781787601e-07
605,9.28437235355865e-08
617,1.27786571968061e-07
628,5.88274328364074e-08
634,9.93053486473019e-08
646,1.1755802596911e-07
649,8.66910845874761e-08
651,2.86568644255623e-05
654,0.000190052431505511
656,5.80689053105397e-06
657,2.10007146715661e-07
669,1.2461820933352e-07
670,9.55385394962172e-05
693,6.51101180708249e-07
694,1.07397268748173e-07
699,1.15832421159305e-07
711,1.35542354325201e-07
718,1.24291625516189e-07
722,1.33413830485666e-07
723,4.06696055671501e-08
725,1.18905087626082e-06
734,1.24016850588225e-07
735,7.50421107982672e-06
737,1.76808064460793e-06
746,1.38380656451616e-07
747,9.00441264656374e-07
766,8.79463350820088e-08
767,1.25074842475971e-07
771,1.06647470941765e-07
773,1.15264797491356e-07
774,1.22035856975945e-07
783,1.56587353583168e-07
784,4.31502898936846e-08
789,9.71997197406766e-08
792,5.30216151911792e-08
804,4.00145953023364e-08
809,1.1545571793039e-07
812,1.00925569978023e-07
813,3.77184135064744e-08
817,1.28144747677745e-07
820,1.11784042872296e-07
825,8.45871024412441e-08
826,9.01444571236292e-08
829,5.03670517551013e-08
855,5.22224732099717e-08
859,3.28787417710305e-05
862,4.74104351588331e-08
870,4.58902299495967e-08
876,1.10556206096952e-07
880,8.45689284368998e-08
886,0.00603735902954796
889,1.63845153024879e-06
891,7.43200432688716e-06
897,0.00473417124415095
902,3.88227957997204e-08
903,1.30875356036511e-07
908,3.13422140281918e-08
909,8.92773064068596e-08
920,7.67425971637753e-08
922,1.20321948716273e-07
924,7.17495018859865e-07
932,5.36825473766706e-08
934,4.42481137360098e-08
937,4.21829705054805e-08
941,1.12010130034766e-07
943,1.25742328068349e-07
950,1.14916712652093e-07
952,1.10808981944784e-07
954,0.00010597583938582
963,9.85118141250379e-08
975,9.47400439895461e-08
979,1.02083379174412e-07
981,1.09983897977995e-07
983,2.839094792647e-08
985,3.46038721211814e-06
989,3.06821197266283e-06
995,1.12982081330427e-07
998,6.24362358026172e-06
1008,9.55454196873409e-08
1019,2.006793320127e-05
1023,1.09891377435638e-07
1026,1.0164377771714e-07
1029,9.70788727143946e-07
1034,1.18820740833321e-06
1036,7.12038843341175e-07
1038,8.60403959404578e-08
1039,5.8254068157885e-07
1051,2.51058219588957e-06
1052,1.45066147002421e-07
1066,1.06326131350617e-07
1087,1.07917183648524e-07
1092,5.40433511624264e-08
1094,1.4948408773363e-06
1098,1.13922587703247e-07
1099,8.23506820659452e-08
1102,3.88072187383235e-08
1118,1.20962170684946e-07
1131,1.38718566823112e-07
1133,3.32503552944875e-05
1135,7.7781203729236e-05
1138,6.19372724024925e-06
1139,0.00033785323669102
1142,5.05297050600316e-08
1151,1.39457348667697e-06
1152,7.4056272943215e-08
1155,6.74522925901715e-06
1165,8.34691496287168e-08
1167,0.00217767207170305
1172,1.58950534569548e-06
1174,1.27896831556368e-06
1180,7.1328208403333e-06
1200,1.17408434066742e-07
1202,1.0895148539572e-07
1227,8.87162240895163e-07
1228,1.35645451292905e-05
1229,1.12172032741618e-07
1237,8.48724009925139e-06
1241,1.335425988304e-07
1256,1.12309542795234e-07
1279,1.44183878002604e-07
1293,4.43361034190401e-06
1295,1.01671933660691e-07
1319,3.87351020055292e-05
1320,2.20755768833615e-07
1321,1.89216562285513e-06
1322,7.0971314883738e-07
1334,3.04711932298878e-08
1351,2.23551649421967e-05
1373,1.04402290226826e-07
1375,9.32683469489792e-08
1380,3.02252637176396e-06
1382,1.95696895265348e-06
1385,2.19382532892371e-06
1399,1.10412189451009e-07
1403,8.03609077326974e-05
1428,1.16367242444937e-07
1434,2.98486475785339e-08
1444,9.5778440939737e-05
1448,6.72690875675183e-08
1466,1.82117857203041e-06
1476,1.06315231740555e-07
1478,1.21226330586703e-07
1485,1.3552480089733e-07
1491,2.36733470196569e-05
1494,9.19679169294207e-07
1500,7.21944294465289e-06
1501,8.21106718238988e-07
1503,1.23090712450653e-07
1519,2.16098961095105e-05
1524,2.32332328762931e-07
1529,1.80695342572119e-06
1533,2.4833044977036e-05
1538,0.00537278094299819
1539,9.02855337107776e-08
1546,6.31337940541431e-06
1555,7.84743194125061e-08
1559,8.62095435141846e-08
1563,9.98702391420121e-07
1565,3.50872391514619e-05
1574,6.08716163230594e-08
1591,7.09527726413726e-08
1594,1.3382546337041e-07
1605,9.14634505371267e-08
1611,1.02563225547996e-07
1614,7.68205527042705e-08
1620,1.03548213700663e-07
1626,1.06523961498129e-07
1630,8.77052937836309e-08
1632,8.85477561647831e-08
1634,1.14664728774049e-07
1643,6.68804203621063e-08
1651,1.08242854522479e-07
1655,9.46787334619189e-08
1658,8.61269106501301e-08
1659,1.87799784362521e-07
1665,9.95224905173782e-08
1675,1.03668600155951e-07
1680,0.000353871299744268
1690,1.02412651710354e-07
1696,1.2028389419378e-07
1714,1.31111793252608e-07
1721,1.02632034473078e-07
1726,1.01091468185922e-07
1728,1.05115348182495e-07
1734,1.05356530997757e-07
1735,1.19367771260438e-07
1740,2.57088789587702e-07
1744,1.26629218255241e-06
1747,8.58407207616947e-08
1752,1.1912827489983e-07
1763,2.35154366442779e-05
1765,2.46219016862998e-05
1769,8.49007334777414e-08
1785,7.40219355123648e-07
1787,1.22537892395227e-07
1788,7.23313561035281e-06
1793,1.09875547050124e-07
1800,1.03389862513318e-07
1825,1.18058473164924e-07
1826,3.41539922290601e-05
1834,4.01874019770017e-08
1843,3.65866981981886e-08
1844,3.48715574392321e-08
1848,1.17942746919758e-07
1849,6.86791874779991e-06
1860,7.48526400782062e-06
1863,7.69924359444851e-06
1875,5.08663204055019e-07
1883,1.07974146529811e-07
1890,5.68969105344056e-08
1892,1.73302706585646e-07
1893,1.28612689567158e-07
1897,1.31845235892101e-07
1905,9.71212089412778e-08
1908,6.95906283136625e-07
1931,1.09463165207288e-07
1940,0.000366421569119867
1943,1.62799611815208e-07
1947,1.58712478747596e-08
1965,6.63044520636054e-07
1967,1.28428327610875e-07
1968,1.12846772473953e-07
1972,3.40765522209288e-05
1982,1.03633260486978e-07
1985,1.05486838890809e-07
2005,1.72369891168646e-06
2010,1.32701545472189e-06
2021,1.03388019735786e-07
2024,1.61578872870594e-06
2036,9.53099876701228e-08
2043,8.2464976055072e-07
2047,6.48778431475082e-07
2049,9.08369459350923e-08
2055,9.10120792008611e-08
2065,1.0131945217669e-07
2066,1.12359283340387e-07
2070,2.56437727089069e-07
2077,0.00116507565367094
2085,1.96373376840051e-06
2095,5.68154547059706e-07
2097,1.63548057983668e-05
2108,6.43637796680516e-06
2112,1.10846454352405e-05
2113,6.40926840251809e-06
2122,4.82887748207621e-08
2139,9.03069171461768e-08
2144,6.78817603121304e-07
2146,1.04477045751361e-07
2148,2.28027153879059e-08
2149,2.79736778433225e-05
2157,3.74106210718067e-08
2159,9.33558409436847e-08
2168,8.84536246312671e-08
2176,4.32817401633928e-06
2178,1.58256837323278e-05
2181,9.57832245994172e-08
2187,1.63098893165195e-06
2188,1.14860095362059e-07
2190,1.20571423366323e-07
2194,6.72289612330797e-06
2197,1.04291287961868e-07
2214,6.39021653879623e-08
2217,2.08477653298493e-08
2222,8.919677246324e-08
2223,9.85350820204799e-08
2226,1.02025409554449e-07
2230,2.23767963126346e-05
2240,1.81200895187559e-06
2247,2.56767201679906e-08
2250,1.11959304701047e-07
2259,8.10242935140934e-07
2262,9.79322378294239e-08
2266,4.12759748004302e-08
2305,1.03361864809234e-07
2310,9.53133996584218e-08
2313,6.28867536737864e-06
2319,1.47644153301757e-06
2320,7.51567289496935e-07
2345,1.01777869047454e-07
2350,1.95810483376633e-05
2356,8.73074277263923e-08
2360,5.75109213983719e-07
2370,4.31258645420281e-08
2386,7.74968089529699e-08
2398,3.60280734937039e-08
2414,2.30986777526066e-05
2435,3.09093169058324e-05
2439,2.36327952029389e-06
2446,3.19071588535877e-05
2458,1.02464831382448e-07
2465,1.11072168747026e-07
2466,8.97774990603179e-08
2470,8.79434969200103e-08
2495,2.11967901700971e-05
2501,1.13056833809604e-07
2507,1.24776261622775e-07
2533,1.1442913941974e-08
2537,8.38507638463302e-08
2538,8.89697707622564e-08
2541,1.11799673566188e-07
2542,2.86972432286445e-05
2544,2.38999898270918e-05
2554,7.35760902305593e-08
2555,9.11063937407813e-08
2565,1.07541484085139e-06
2575,1.87744929819989e-05
2586,5.91757212265535e-06
2588,7.83181316068796e-08
2594,1.953368776695e-05
2617,6.43470789073937e-06
2618,9.80365175111892e-08
2623,0.00406836789047104
2631,5.19466518714484e-06
2640,8.77192322874429e-08
2642,2.29639589609719e-05
2647,1.0314074637829e-07
2663,1.07071957551884e-07
2664,9.89458287102025e-08
2676,8.16943171677692e-08
2680,0.00386589191495284
2681,8.60334453346532e-08
2691,8.94491877721549e-08
2693,9.31447105732231e-08
2695,6.18100760107091e-06
2704,9.21846042023186e-08
2708,3.86148454335648e-08
2709,0.00530367823646532
2717,3.80019957446738e-05
2722,1.17152610312086e-07
2728,6.37607121030902e-08
2732,3.16333475183235e-05
2743,1.85354779571224e-06
2752,1.11656077683007e-07
2757,2.19089409375864e-05
2761,6.6960483282886e-06
2769,1.14616763148122e-07
2771,7.02208644907362e-06
2774,9.54550645787592e-08
2776,8.28582353567231e-08
2781,1.28749369921261e-07
2793,9.31770312276754e-08
2799,3.07137574634167e-08
2803,1.29582373823976e-07
2811,1.24943812496758e-07
2818,8.78045129395072e-08
2824,2.88775411573313e-06
2828,3.33405249125804e-05
2829,9.0474934866778e-08
2830,9.45666157028465e-08
2842,2.07906597223619e-05
2847,2.79571514846939e-05
2848,9.53282152179275e-08
2868,6.65984859482322e-08
2870,9.95629589761268e-08
2885,6.35746457681e-08
2886,9.91335313293961e-08
2889,8.67627059861223e-07
2903,1.12527021230209e-07
2904,3.10743164194572e-05
2918,1.39853217199871e-06
2919,8.18689777272729e-08
2922,9.80325186855209e-08
2923,1.12915455808745e-07
2931,1.01793170128514e-07
2945,7.58618636058481e-08
2955,7.84571144033668e-08
2957,1.68689496237083e-05
2960,2.92538648242366e-05
2963,1.15568107616167e-07
2966,0.000326904761958821
2972,1.63314814340858e-06
2974,1.95643230093215e-07
2982,9.18892737147364e-08
2984,1.19426463109743e-06
3016,5.65670451043908e-06
3021,8.61848683280669e-08
3023,0.00025943091665236
3025,8.80366267849369e-08
3029,1.18408176559232e-07
3034,3.3339838481917e-05
3038,7.94364523007496e-08
3040,9.08243337211699e-08
3051,1.62696729911654e-06
3062,7.24511960160911e-08
3069,8.31897367172219e-08
3071,9.60186853440514e-08
3076,8.16555891086559e-05
3079,1.40398007303609e-07
3081,1.45152860906557e-07
3082,1.1220773053587e-07
3084,2.80546362849811e-06
3098,4.06336092343776e-08
3104,4.99352599978304e-08
3105,1.22105673345657e-07
3114,2.93530828085794e-05
3118,9.47968692518262e-08
3122,1.13593385312888e-07
3132,9.08850352396401e-08
3138,8.97588778092052e-08
3141,5.9687596163501e-06
3156,1.46286051607181e-05
3162,2.69969568425046e-05
3167,2.62486086856592e-08
